hotel_name,rating,price,room_type,bed,amenities
Fuyuan'er Bulaotun Boutique Hostel,4.8,After tax US$319.92,Courtyard Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Basketball|Mahjong/chess/poker room|Teahouse
Hotel New Otani Chang Fu Gong,4.7,After tax US$254.56,Superior Queen Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Basketball|Mahjong/chess/poker room|Beauty salon
Yuyang Hotel,4.8,After tax US$89.44,Twin Room (No window),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Karaoke|Billiards
Ruralscape Boutique Holiday Villa,4.6,After tax US$199.52,Garden House - 1-Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room
Ariva Beijing West Hotel & Serviced Apartments,4.3,After tax US$190.92,Superior Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call
Jinding Hongtai Hotel,4.4,After tax US$70.52,Boutique Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Foot massage|Spa|Luggage storage|Wake-up call
Yuyang Hotel,4.8,After tax US$89.44,Twin Room (No window),2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Luggage storage|Wake-up call|Skiing|Karaoke|Billiards
Ruralscape Boutique Holiday Villa,4.6,After tax US$199.52,Garden House - 1-Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room
Ariva Beijing West Hotel & Serviced Apartments,4.3,After tax US$190.92,Superior Room,2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Spa|Massage|Non-smoking floor|Luggage storage|Wake-up call
Jinding Hongtai Hotel,4.4,After tax US$70.52,Boutique Twin Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Foot massage|Spa|Luggage storage|Wake-up call
Hotel Eclat Beijing,4.6,After tax US$440.32,Deluxe Double Room,1 king bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call
China World Hotel,4.7,After tax US$387,Deluxe Room King,1 king bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Sunbathing area|Table tennis|Tennis|Squash|Beauty salon
Vangen,4.9,After tax US$364.64,Suite (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Horticultural Homestay,4.8,After tax US$103.20,Standard Room,2 single beds,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call|Basketball|Mahjong/chess/poker room|Teahouse|Library|Designated Smoking Area
Beijing Libang Garden Town homestay Resort,4.7,After tax US$98.04,Standard Room (2 beds),2 single beds,Wi-Fi in designated areas|Restaurant|Luggage storage|Wake-up call|Billiards|Basketball|Mahjong/chess/poker room|Teahouse|Designated Smoking Area
The Great Wall Hotel Beijing,4.4,After tax US$166.84,Deluxe Room,1 queen bed or 2 single beds,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Table tennis|Beauty salon
